,year,ISO_code,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_freedom,pf_religion_repression,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_entry,pf_association_assembly,pf_association_barries,pf_association_bans,pf_association_estopparties,pf_association_opposition,pf_association_civilrepression,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_media,pf_expression_cable,pf_expression_newspapers,pf_expression_control,pf_expression,pf_identity_legal,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,womens_freedom
548,2009,FJI,Fiji,Oceania,7.12,68.0,2.0,,,,4.5,8.6,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,9.5,5.0,10.0,10.0,8.3,5.8,5.7,7.7,7.0,6.6,4.4,,2.9,6.9,4.9,7.8,4.9,5.5,10.0,10.0,4.0,,,,8.0,,10.0,10.0,10.0,10.0,10.0,7.34,72.0,6.3,8.7,10.0,7.0,7.0,7.0,4.8,7.4,3.4,4.3,4.8,10.0,7.1,5.9,8.1,4.9,0.9,5.8,9.0,8.7,9.3,0.0,6.8,7.7,7.6,0.0,5.1,,6.9,6.9,10.0,1.7,0.0,9.0,3.5,6.4,10.0,4.7,10.0,8.2,7.8,,,10.0,8.1,10.0,9.0,,,8.3,3.6,8.6,8.2,7.2,8.1,6.89,72.0,10.0
549,2008,FJI,Fiji,Oceania,7.27,63.0,2.0,,,,4.7,9.2,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,9.7,5.0,10.0,10.0,8.3,6.7,5.9,8.2,8.0,7.2,4.4,,5.0,8.1,6.6,8.1,4.5,5.9,10.0,10.0,5.4,,,,8.5,,10.0,10.0,10.0,10.0,10.0,7.61,61.0,7.3,8.7,10.0,7.0,7.0,7.0,4.8,7.6,3.45,4.4,4.77,10.0,7.3,5.9,8.1,4.9,1.0,6.1,8.2,9.0,8.5,0.0,6.4,7.7,7.7,0.0,5.1,,6.7,6.7,10.0,1.7,0.0,9.0,3.5,6.3,10.0,4.7,10.0,8.2,8.9,,,10.0,8.0,10.0,9.2,,,8.3,3.8,8.6,8.3,7.3,8.2,6.93,71.0,10.0
550,2018,FIN,Finland,Western Europe,8.49,11.0,1.0,9.6,8.1,8.3,8.7,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.2,8.8,8.7,5.0,7.9,7.6,10.0,8.9,9.0,8.9,9.5,9.3,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,9.21,5.0,2.9,3.7,9.2,2.0,1.0,1.5,7.1,4.9,7.7,7.5,7.9,10.0,8.5,6.3,7.5,9.5,1.0,8.1,7.9,9.8,9.8,10.0,9.4,9.1,9.0,6.3,8.1,7.9,9.1,8.5,10.0,10.0,3.1,7.7,6.9,8.4,10.0,9.7,10.0,9.9,3.9,4.3,2.8,8.0,10.0,3.0,5.3,6.5,8.2,9.6,10.0,9.9,9.0,8.9,8.0,7.76,29.0,10.0
551,2017,FIN,Finland,Western Europe,8.47,14.0,1.0,9.7,8.0,8.4,8.6,9.5,10.0,10.0,10.0,9.9,9.6,9.9,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.1,8.7,8.7,5.0,7.9,7.9,10.0,8.9,9.0,8.9,9.5,9.3,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,9.21,5.0,3.0,3.6,9.0,3.0,2.0,2.5,6.4,4.9,7.9,7.5,7.6,10.0,8.5,6.3,7.8,9.7,1.0,8.2,7.3,9.7,9.8,10.0,9.2,9.0,9.0,6.7,8.2,7.9,9.1,8.5,10.0,10.0,3.1,7.7,6.9,8.4,10.0,9.7,10.0,9.9,3.9,4.2,2.2,8.0,10.0,3.0,5.2,6.1,8.2,9.4,9.7,9.9,9.0,8.7,7.9,7.73,29.0,10.0
552,2016,FIN,Finland,Western Europe,8.46,15.0,1.0,9.5,8.0,8.5,8.6,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.5,8.8,8.7,5.0,8.0,7.3,10.0,8.9,9.0,8.9,9.6,9.2,9.0,10.0,10.0,8.8,10.0,10.0,10.0,9.8,7.0,10.0,10.0,10.0,10.0,9.0,9.2,5.0,2.9,3.4,8.9,3.0,2.0,2.5,6.5,4.8,7.9,7.5,7.7,10.0,8.5,6.3,7.8,9.7,1.0,8.2,7.8,9.7,9.9,10.0,9.4,9.0,9.0,6.8,8.3,7.9,9.1,8.5,10.0,10.0,3.1,7.7,6.9,8.4,10.0,8.4,10.0,9.5,3.9,4.2,2.1,8.0,10.0,3.0,5.2,6.2,7.8,9.5,10.0,9.9,9.0,8.7,7.8,7.71,34.0,10.0
553,2015,FIN,Finland,Western Europe,8.52,15.0,1.0,9.5,8.0,8.5,8.7,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.5,8.8,9.2,7.6,8.8,7.3,10.0,8.9,9.0,8.9,9.6,9.2,9.0,10.0,10.0,9.0,10.0,10.0,10.0,9.8,7.0,10.0,10.0,10.0,10.0,9.0,9.28,4.0,2.8,3.2,8.8,3.0,2.0,2.5,6.5,4.8,7.8,7.5,7.6,10.0,8.5,6.7,8.1,9.6,1.0,8.2,8.7,9.7,10.0,10.0,9.6,9.1,9.0,7.0,8.4,7.3,9.1,8.2,10.0,10.0,3.1,7.7,6.9,8.4,10.0,8.2,10.0,9.4,3.9,4.2,2.0,8.0,10.0,3.0,5.2,5.8,7.8,9.5,10.0,9.9,9.0,8.7,7.8,7.75,31.0,10.0
554,2014,FIN,Finland,Western Europe,8.62,8.0,1.0,9.5,8.0,8.5,8.6,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.5,8.8,8.8,8.7,8.9,9.1,10.0,8.4,9.1,8.7,9.6,9.6,9.4,10.0,10.0,9.0,10.0,10.0,10.0,9.8,,10.0,10.0,10.0,10.0,10.0,9.42,3.0,2.7,3.7,8.5,4.0,3.0,3.5,6.4,5.0,7.7,7.6,7.6,10.0,8.5,6.8,8.1,9.6,1.0,8.2,8.8,9.6,9.8,10.0,9.5,9.8,8.9,6.5,8.4,8.1,9.1,8.6,10.0,10.0,3.1,7.7,6.9,8.5,10.0,8.6,10.0,9.5,3.9,4.5,3.7,8.0,10.0,3.0,5.5,5.3,7.6,9.5,9.8,9.9,9.0,8.5,7.9,7.82,24.0,10.0
555,2013,FIN,Finland,Western Europe,8.59,8.0,1.0,9.6,7.8,8.5,8.6,9.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,9.5,8.8,8.9,9.4,9.1,9.1,10.0,8.4,9.1,8.7,9.6,9.6,9.4,10.0,10.0,9.0,10.0,10.0,10.0,9.8,,10.0,10.0,10.0,10.0,10.0,9.42,3.0,2.6,3.4,8.7,4.0,3.0,3.5,6.4,4.9,7.7,7.5,7.6,10.0,8.5,7.2,8.1,9.6,1.0,8.3,9.0,9.5,9.7,10.0,9.5,9.6,8.9,6.2,8.2,6.8,9.0,7.9,10.0,10.0,3.1,7.7,6.9,8.3,10.0,8.4,10.0,9.5,3.9,4.2,2.3,8.0,10.0,3.0,5.2,5.8,7.6,9.5,9.8,9.9,9.0,8.6,7.8,7.76,24.0,10.0
556,2012,FIN,Finland,Western Europe,8.67,5.0,1.0,9.7,7.5,8.5,8.6,9.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,10.0,10.0,9.1,9.1,8.7,9.2,9.1,10.0,8.3,8.4,8.3,9.7,9.6,9.3,10.0,10.0,9.0,10.0,10.0,10.0,9.8,,10.0,10.0,10.0,10.0,10.0,9.42,3.0,2.7,3.5,9.1,4.0,3.0,3.5,7.2,5.2,7.7,7.7,7.6,10.0,8.5,7.2,8.4,9.5,1.0,8.3,8.8,9.5,9.4,10.0,9.4,9.6,8.9,6.1,8.2,7.4,9.0,8.2,10.0,10.0,7.7,6.4,8.0,8.6,10.0,9.5,10.0,9.8,3.9,4.5,2.9,8.0,10.0,3.0,5.4,6.6,7.6,9.5,10.0,9.8,9.0,8.7,8.0,7.91,12.0,10.0
557,2011,FIN,Finland,Western Europe,8.72,4.0,1.0,9.7,7.9,8.7,8.7,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,9.1,9.3,8.8,9.3,9.1,10.0,8.4,8.4,8.4,9.7,9.6,9.3,10.0,10.0,9.1,10.0,10.0,10.0,9.9,,10.0,10.0,10.0,10.0,10.0,9.46,2.0,2.8,3.8,9.4,4.0,3.0,3.5,7.2,5.3,7.7,7.6,7.7,10.0,8.5,7.2,8.4,9.4,1.0,8.3,9.1,9.5,9.3,10.0,9.5,9.7,8.9,6.2,8.3,7.9,9.1,8.5,10.0,10.0,7.7,6.4,8.0,8.7,10.0,9.8,10.0,9.9,3.9,4.8,3.7,8.0,10.0,3.0,5.6,6.3,7.6,9.5,10.0,9.8,9.0,8.7,8.1,7.98,11.0,10.0
558,2010,FIN,Finland,Western Europe,8.68,5.0,1.0,9.7,7.9,8.7,8.7,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,9.1,8.9,8.8,9.2,9.1,10.0,8.4,8.4,8.4,9.7,9.6,9.3,10.0,10.0,9.1,10.0,10.0,10.0,9.9,,10.0,10.0,10.0,10.0,10.0,9.44,3.0,2.7,3.7,9.5,4.0,3.0,3.5,7.2,5.3,7.6,7.5,7.7,10.0,8.5,7.3,8.4,9.5,1.0,8.3,9.1,9.6,9.8,10.0,9.6,9.6,9.0,6.4,8.3,8.5,9.0,8.7,10.0,10.0,3.1,6.4,6.5,8.4,10.0,8.9,10.0,9.6,3.9,5.0,3.9,8.0,10.0,3.0,5.6,5.6,7.6,9.5,10.0,9.7,9.0,8.6,7.9,7.92,12.0,10.0
559,2009,FIN,Finland,Western Europe,8.63,7.0,1.0,9.7,7.9,8.7,8.7,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,9.1,9.1,8.9,9.3,9.1,10.0,8.4,8.4,8.4,9.7,9.6,9.3,10.0,10.0,9.1,10.0,10.0,10.0,9.9,,10.0,10.0,10.0,10.0,10.0,9.45,3.0,2.5,3.8,9.2,4.0,3.0,3.5,7.2,5.2,7.6,7.4,7.6,10.0,8.5,7.0,8.4,9.4,1.0,8.3,8.6,9.6,10.0,10.0,9.6,9.4,8.9,6.3,8.2,8.2,9.0,8.6,10.0,10.0,3.1,6.4,6.5,8.3,10.0,9.2,10.0,9.7,3.9,4.8,3.6,8.0,10.0,3.0,5.5,5.5,3.8,9.5,10.0,9.6,7.3,7.6,7.6,7.8,13.0,10.0
560,2008,FIN,Finland,Western Europe,8.63,7.0,1.0,9.7,7.9,8.7,8.7,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,9.1,9.0,8.9,9.3,9.1,10.0,8.4,8.4,8.4,9.7,9.6,9.3,10.0,10.0,9.1,10.0,10.0,10.0,9.9,,10.0,10.0,10.0,10.0,10.0,9.44,3.0,2.9,4.7,10.0,4.0,2.0,3.0,7.2,5.6,7.7,7.2,7.7,10.0,8.5,7.1,8.4,9.4,1.0,8.3,9.1,9.6,9.2,10.0,9.5,9.6,8.9,5.6,8.0,8.1,9.0,8.6,10.0,10.0,3.1,6.4,6.5,8.3,10.0,10.0,10.0,10.0,5.6,4.5,3.7,6.0,7.6,3.0,5.1,5.5,3.8,9.5,10.0,9.8,7.3,7.6,7.6,7.82,16.0,10.0
561,2018,FRA,France,Western Europe,8.05,33.0,1.0,7.3,7.1,6.2,6.8,9.5,10.0,10.0,10.0,9.9,9.9,10.0,10.0,7.5,8.8,9.4,10.0,10.0,10.0,10.0,7.3,8.1,7.1,7.2,7.4,9.0,10.0,8.9,8.6,8.8,9.2,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.7,27.0,2.9,2.4,10.0,4.0,2.0,3.0,6.5,5.0,6.2,6.2,6.8,8.3,7.7,5.6,6.8,7.1,1.0,6.7,7.9,9.9,9.6,10.0,9.4,9.1,9.0,6.3,8.1,6.0,10.0,8.0,10.0,10.0,5.4,7.7,7.7,8.5,8.0,8.8,10.0,8.9,2.2,4.5,6.6,4.0,8.1,10.0,5.9,4.3,8.0,9.9,9.3,7.4,8.4,7.9,7.6,7.4,58.0,9.26
562,2017,FRA,France,Western Europe,8.08,34.0,1.0,7.4,7.1,6.3,6.8,9.5,10.0,10.0,10.0,10.0,9.9,10.0,10.0,7.5,8.8,9.4,10.0,10.0,10.0,10.0,7.3,8.1,7.1,7.2,7.4,9.0,10.0,9.0,8.1,8.5,9.3,10.0,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.72,26.0,2.8,2.3,9.9,5.0,2.0,3.5,7.4,5.2,6.4,6.4,6.5,8.3,7.9,5.8,6.8,7.8,1.0,6.8,7.4,9.9,9.8,10.0,9.3,9.0,9.0,6.7,8.2,5.4,10.0,7.7,10.0,10.0,5.4,7.7,7.7,8.4,8.0,8.8,10.0,8.9,2.2,2.6,6.7,4.0,8.1,10.0,5.6,3.0,8.9,9.9,9.3,7.9,8.4,7.9,7.5,7.44,53.0,9.26
563,2016,FRA,France,Western Europe,8.11,33.0,1.0,6.8,7.0,6.5,6.8,9.5,10.0,10.0,10.0,9.5,8.6,9.6,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,7.3,7.8,7.1,7.2,7.3,9.0,10.0,9.4,8.1,8.8,9.5,10.0,9.5,10.0,10.0,7.4,10.0,10.0,10.0,9.6,10.0,10.0,10.0,10.0,10.0,10.0,8.75,26.0,2.8,2.3,9.8,5.0,2.0,3.5,7.4,5.2,6.3,6.4,6.4,8.8,7.9,6.0,6.4,7.8,0.9,6.8,8.1,9.8,10.0,10.0,9.5,9.0,9.0,6.8,8.3,5.4,10.0,7.7,10.0,10.0,5.4,7.7,7.7,8.4,8.0,8.3,10.0,8.8,2.2,2.3,6.7,4.0,8.5,10.0,5.6,2.9,8.4,9.9,9.3,7.9,8.4,7.8,7.4,7.46,51.0,10.0
564,2015,FRA,France,Western Europe,8.13,33.0,1.0,6.8,7.0,6.5,6.9,9.4,10.0,10.0,10.0,9.2,9.5,9.7,10.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,7.3,7.8,7.7,6.7,7.4,9.0,10.0,9.4,8.1,8.8,9.5,10.0,9.5,5.5,10.0,7.1,10.0,10.0,10.0,8.8,10.0,10.0,10.0,10.0,10.0,10.0,8.72,29.0,2.8,2.4,9.7,5.0,2.0,3.5,7.4,5.2,6.3,6.6,6.5,9.2,7.9,6.0,6.4,7.9,0.9,6.9,9.2,9.8,10.0,10.0,9.8,9.1,9.0,7.0,8.4,5.4,10.0,7.7,10.0,10.0,5.4,7.7,7.7,8.4,8.0,8.3,10.0,8.8,2.2,2.7,6.8,4.0,8.5,10.0,5.7,2.9,8.7,9.9,9.3,7.9,8.4,7.9,7.4,7.54,41.0,10.0
565,2014,FRA,France,Western Europe,8.15,33.0,1.0,7.2,7.1,6.5,7.1,9.5,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,10.0,9.7,10.0,5.0,10.0,8.3,7.3,7.8,9.4,7.4,8.0,9.0,10.0,9.4,8.1,8.8,9.5,10.0,9.5,10.0,10.0,7.8,10.0,10.0,10.0,9.6,,10.0,10.0,10.0,10.0,10.0,8.73,32.0,2.8,2.4,9.4,5.0,2.0,3.5,7.4,5.1,6.3,6.5,6.6,9.2,7.9,6.0,7.1,7.2,0.9,6.9,9.2,9.8,9.9,10.0,9.7,9.8,8.9,6.5,8.4,7.1,10.0,8.5,10.0,10.0,5.4,7.7,7.7,8.7,8.0,8.0,10.0,8.7,2.2,3.0,6.3,4.0,8.5,10.0,5.7,3.2,8.7,9.9,9.3,7.9,8.5,7.9,7.4,7.57,42.0,10.0
566,2013,FRA,France,Western Europe,8.08,34.0,1.0,7.6,7.0,6.6,6.9,9.5,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,10.0,9.7,5.0,10.0,10.0,8.3,7.9,7.8,9.2,7.5,8.1,9.5,10.0,9.4,8.1,8.8,9.5,10.0,9.5,10.0,10.0,7.9,10.0,10.0,10.0,9.7,,10.0,10.0,10.0,10.0,10.0,8.71,31.0,2.8,2.7,9.1,5.0,2.0,3.5,7.4,5.1,6.2,6.3,6.6,9.2,7.9,6.0,7.1,7.2,0.9,6.9,9.3,9.8,9.8,10.0,9.8,9.6,8.9,6.2,8.2,5.6,8.6,7.1,10.0,10.0,5.4,7.7,7.7,8.3,8.0,7.6,10.0,8.5,2.2,2.9,6.4,2.0,8.5,10.0,5.3,3.1,8.7,9.8,9.3,7.9,8.5,7.9,7.3,7.45,49.0,10.0
567,2012,FRA,France,Western Europe,8.08,36.0,1.0,7.3,6.9,6.5,6.9,9.5,10.0,10.0,7.5,10.0,10.0,9.5,9.5,10.0,9.8,9.6,5.0,10.0,10.0,8.3,7.9,7.8,9.0,7.7,8.1,9.5,10.0,9.4,7.7,8.6,9.5,10.0,9.5,10.0,10.0,7.9,10.0,10.0,10.0,9.7,,10.0,10.0,10.0,10.0,10.0,8.68,30.0,2.9,1.9,9.2,5.0,3.0,4.0,7.4,5.1,6.3,6.2,6.7,9.2,8.0,6.0,7.1,7.1,1.0,6.9,9.3,9.7,9.6,10.0,9.7,9.6,8.9,6.1,8.2,6.2,8.6,7.4,10.0,10.0,5.4,6.4,7.3,8.2,8.0,7.7,10.0,8.6,3.3,2.6,6.8,4.0,8.5,10.0,5.9,2.9,8.7,9.8,10.0,7.5,8.5,7.9,7.4,7.47,44.0,9.86
568,2011,FRA,France,Western Europe,8.1,36.0,1.0,7.4,6.8,6.9,7.0,9.5,10.0,10.0,7.5,10.0,10.0,9.5,9.5,10.0,9.8,9.6,10.0,5.0,10.0,8.3,7.9,7.8,9.3,7.4,8.1,9.5,10.0,9.4,7.7,8.6,9.5,10.0,9.5,10.0,10.0,7.6,10.0,10.0,10.0,9.6,,10.0,10.0,10.0,10.0,10.0,8.7,32.0,3.0,2.8,9.2,5.0,3.0,4.0,7.4,5.3,6.1,6.4,6.7,9.2,8.0,6.0,6.9,7.2,1.0,6.9,9.3,9.6,9.6,10.0,9.6,9.7,8.9,6.2,8.3,6.2,8.7,7.5,10.0,10.0,5.4,6.4,7.3,8.3,8.0,7.6,10.0,8.5,3.3,2.6,6.9,4.0,8.5,10.0,5.9,2.8,8.3,9.8,10.0,7.8,8.5,7.9,7.4,7.5,41.0,9.86
569,2010,FRA,France,Western Europe,8.15,31.0,1.0,7.4,6.8,6.9,7.0,9.5,10.0,10.0,7.5,10.0,10.0,9.5,9.5,10.0,9.8,9.6,10.0,5.0,10.0,8.3,7.9,7.8,9.3,7.6,8.1,9.4,10.0,9.4,7.7,8.6,9.5,10.0,9.5,10.0,10.0,7.8,10.0,10.0,10.0,9.6,,10.0,10.0,10.0,10.0,10.0,8.71,32.0,3.0,2.7,8.9,6.0,4.0,5.0,7.4,5.4,6.2,6.6,6.9,9.2,7.9,6.2,6.9,7.3,1.0,7.0,9.4,9.6,9.7,10.0,9.7,9.6,9.0,6.4,8.3,6.6,8.7,7.7,10.0,10.0,5.4,6.4,7.3,8.3,10.0,6.6,10.0,8.9,3.3,2.8,7.0,4.0,8.5,10.0,5.9,2.7,8.3,9.8,10.0,7.9,8.5,7.9,7.6,7.59,34.0,9.86
570,2009,FRA,France,Western Europe,8.25,23.0,1.0,7.4,6.8,6.9,7.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.8,9.7,10.0,10.0,10.0,10.0,8.8,7.8,9.6,7.6,8.4,9.5,10.0,9.4,7.7,8.6,9.5,10.0,9.5,10.0,10.0,7.8,10.0,10.0,10.0,9.6,,10.0,10.0,10.0,10.0,10.0,8.94,23.0,3.0,2.8,8.7,6.0,4.0,5.0,7.4,5.4,6.2,6.6,6.8,9.2,7.9,6.2,6.9,7.7,1.0,7.1,9.0,9.7,10.0,10.0,9.7,9.4,8.9,6.3,8.2,6.9,8.7,7.8,10.0,10.0,6.2,6.4,7.5,8.4,10.0,6.4,10.0,8.8,3.3,3.2,7.2,4.0,7.9,10.0,5.9,2.7,2.4,9.8,10.0,8.6,8.5,7.0,7.2,7.55,31.0,9.86
571,2008,FRA,France,Western Europe,8.27,25.0,1.0,7.4,6.8,6.9,7.0,9.3,10.0,10.0,7.5,10.0,10.0,9.5,9.5,10.0,9.8,9.5,10.0,10.0,10.0,10.0,8.8,7.8,9.7,8.1,8.6,9.5,10.0,9.4,7.7,8.6,9.5,10.0,9.5,10.0,10.0,7.9,10.0,10.0,10.0,9.6,,10.0,10.0,10.0,10.0,10.0,8.91,25.0,3.3,3.4,9.4,6.0,4.0,5.0,7.4,5.7,6.2,6.6,6.8,9.2,7.9,6.6,6.1,7.8,1.0,7.2,8.9,9.8,9.4,10.0,9.5,9.6,8.9,5.6,8.0,7.1,8.7,7.9,10.0,10.0,6.2,6.4,7.5,8.4,10.0,8.8,10.0,9.6,3.3,3.0,6.3,4.0,7.0,10.0,5.6,2.2,2.4,9.8,10.0,8.6,8.5,6.9,7.4,7.63,29.0,9.86
572,2018,GAB,Gabon,Sub-Saharan Africa,6.14,127.0,4.0,,,,4.0,6.8,10.0,10.0,5.0,10.0,10.0,9.0,10.0,7.5,8.8,8.2,5.0,0.0,2.5,2.5,7.6,9.1,9.9,9.4,9.0,10.0,2.5,7.0,7.0,7.0,6.5,8.0,6.8,10.0,10.0,2.5,7.5,7.5,2.5,6.7,,10.0,10.0,10.0,7.5,8.8,6.42,106.0,5.4,9.6,10.0,8.0,4.0,6.0,4.2,7.1,3.5,3.5,5.3,3.3,5.1,2.9,4.9,2.8,0.8,3.5,8.6,7.4,9.0,0.0,6.3,7.5,6.5,6.1,6.7,4.2,3.6,3.9,10.0,1.7,1.5,0.2,1.1,5.4,5.0,10.0,10.0,8.3,7.2,4.4,5.9,8.0,8.5,10.0,7.3,3.4,3.3,9.5,7.7,6.4,2.9,5.6,7.1,5.86,138.0,7.76
573,2017,GAB,Gabon,Sub-Saharan Africa,6.16,125.0,4.0,,,,4.1,6.8,10.0,10.0,5.0,10.0,9.8,9.0,10.0,7.5,8.8,8.2,5.0,0.0,2.5,2.5,9.0,9.1,9.9,9.4,9.4,9.9,2.5,6.9,7.0,7.0,6.5,8.0,6.8,10.0,10.0,2.5,7.5,7.5,2.5,6.7,,10.0,10.0,10.0,7.5,8.8,6.47,105.0,4.5,9.4,10.0,5.0,2.0,3.5,3.7,6.2,3.5,3.5,5.6,3.3,5.4,2.9,4.3,6.4,0.8,3.9,7.5,7.8,9.5,0.0,6.2,7.5,6.5,6.1,6.7,6.8,3.6,5.2,10.0,1.7,1.5,0.2,1.1,5.8,5.0,9.3,10.0,8.1,7.2,6.0,5.5,8.0,8.5,10.0,7.5,6.3,2.7,8.9,7.7,6.4,2.9,5.8,7.2,5.85,140.0,7.76
574,2016,GAB,Gabon,Sub-Saharan Africa,5.84,139.0,4.0,,,,4.2,6.8,5.0,10.0,5.0,10.0,10.0,8.0,10.0,7.5,8.8,7.8,5.0,0.0,0.0,1.7,9.0,8.4,9.9,9.4,9.2,8.8,2.5,7.1,7.1,7.1,5.9,8.0,6.4,10.0,10.0,2.9,7.5,7.5,2.5,6.7,,10.0,10.0,10.0,0.0,5.0,5.92,122.0,3.9,9.4,8.9,5.0,2.0,3.5,4.4,6.0,3.61,3.8,5.37,3.3,5.2,2.9,4.6,4.9,0.8,3.8,8.4,8.3,9.6,0.0,6.6,6.83,6.5,6.1,6.5,3.83,3.6,3.7,10.0,1.66,1.5,0.2,1.1,5.3,5.0,9.3,10.0,8.1,7.2,3.99,5.87,8.0,8.5,10.0,7.3,3.9,2.4,8.9,8.1,6.4,4.5,5.7,7.0,5.75,142.0,7.26
575,2015,GAB,Gabon,Sub-Saharan Africa,5.75,140.0,4.0,,,,4.3,6.8,10.0,10.0,5.0,10.0,10.0,9.0,10.0,7.5,8.8,8.2,0.0,0.0,0.0,0.0,9.0,8.4,9.4,8.7,8.9,8.8,2.5,7.1,7.1,7.1,5.9,8.0,6.4,10.0,10.0,3.3,7.5,7.5,2.5,6.8,,10.0,10.0,10.0,0.0,5.0,5.84,124.0,3.5,9.1,9.3,5.0,2.0,3.5,4.4,5.9,3.61,3.8,5.37,3.3,5.2,2.9,4.6,4.9,0.8,3.8,9.6,6.2,9.9,0.0,6.4,6.24,6.5,6.1,6.3,3.83,3.6,3.7,10.0,1.66,1.5,0.2,1.1,5.3,5.0,9.3,9.0,7.8,8.3,3.99,5.87,8.0,8.5,10.0,7.5,3.9,1.8,8.2,8.1,5.6,4.5,5.3,6.9,5.66,141.0,7.26
576,2014,GAB,Gabon,Sub-Saharan Africa,5.66,140.0,4.0,,,,4.4,6.8,10.0,10.0,5.0,10.0,10.0,9.0,10.0,7.5,8.8,8.2,0.0,0.0,0.0,0.0,9.0,8.4,8.0,7.7,8.3,8.8,2.5,7.1,7.1,7.1,5.9,8.0,6.4,10.0,10.0,3.0,7.5,7.5,2.5,6.8,,10.0,10.0,10.0,0.0,5.0,5.78,130.0,2.9,9.0,8.8,5.0,2.0,3.5,4.4,5.7,3.6,3.8,5.1,3.3,5.2,2.9,4.6,4.2,0.8,3.7,9.2,5.6,9.1,0.0,6.0,6.37,6.5,6.1,6.3,5.5,3.3,4.4,10.0,1.7,1.5,0.2,1.1,5.5,5.0,10.0,9.0,8.0,8.3,4.0,5.8,8.0,8.5,10.0,7.4,3.9,0.7,8.2,8.1,5.6,4.5,5.2,6.9,5.54,144.0,7.26
